gene_symbol,druggability,uniprot_url,opentargets_url
NR3C1,Yes,https://www.uniprot.org/uniprotkb/P04150,https://platform.opentargets.org/target/ENSG00000113580
GUCY1B1,Yes,https://www.uniprot.org/uniprotkb/Q02153,https://platform.opentargets.org/target/ENSG00000061918
C5,No,https://www.uniprot.org/uniprotkb/P01031,https://platform.opentargets.org/target/ENSG00000106804
IL6R,No,https://www.uniprot.org/uniprotkb/P08887,https://platform.opentargets.org/target/ENSG00000160712
TNF,Yes,https://www.uniprot.org/uniprotkb/P01375,https://platform.opentargets.org/target/ENSG00000232810
PTGS2,Yes,https://www.uniprot.org/uniprotkb/P35354,https://platform.opentargets.org/target/ENSG00000073756
SERPINC1,Yes,https://www.uniprot.org/uniprotkb/P01008,https://platform.opentargets.org/target/ENSG00000117601
RARG,Yes,https://www.uniprot.org/uniprotkb/P13631,https://platform.opentargets.org/target/ENSG00000172819
BTK,Yes,https://www.uniprot.org/uniprotkb/Q06187,https://platform.opentargets.org/target/ENSG00000010671
CYP3A4,Yes,https://www.uniprot.org/uniprotkb/P08684,https://platform.opentargets.org/target/ENSG00000160868
CCR5,Yes,https://www.uniprot.org/uniprotkb/P51681,https://platform.opentargets.org/target/ENSG00000160791
CCR2,Yes,https://www.uniprot.org/uniprotkb/P41597,https://platform.opentargets.org/target/ENSG00000121807
IL1B,No,https://www.uniprot.org/uniprotkb/P01584,https://platform.opentargets.org/target/ENSG00000125538
VDR,Yes,https://www.uniprot.org/uniprotkb/P11473,https://platform.opentargets.org/target/ENSG00000111424
TLR9,Yes,https://www.uniprot.org/uniprotkb/Q9NR96,https://platform.opentargets.org/target/ENSG00000239732
VEGFA,No,https://www.uniprot.org/uniprotkb/P15692,https://platform.opentargets.org/target/ENSG00000112715
OPRM1,Yes,https://www.uniprot.org/uniprotkb/P35372,https://platform.opentargets.org/target/ENSG00000112038
ADRA1A,Yes,https://www.uniprot.org/uniprotkb/P35348,https://platform.opentargets.org/target/ENSG00000120907
PDE4A,Yes,https://www.uniprot.org/uniprotkb/P27815,https://platform.opentargets.org/target/ENSG00000065989
CHRNB2,Yes,https://www.uniprot.org/uniprotkb/P17787,https://platform.opentargets.org/target/ENSG00000160716
F10,Yes,https://www.uniprot.org/uniprotkb/P00742,https://platform.opentargets.org/target/ENSG00000126218
P2RY12,Yes,https://www.uniprot.org/uniprotkb/Q9H244,https://platform.opentargets.org/target/ENSG00000169313
GABRA1,Yes,https://www.uniprot.org/uniprotkb/P14867,https://platform.opentargets.org/target/ENSG00000022355
KCNK10,Yes,https://www.uniprot.org/uniprotkb/P57789,https://platform.opentargets.org/target/ENSG00000100433
KCNK18,Yes,https://www.uniprot.org/uniprotkb/Q7Z418,https://platform.opentargets.org/target/ENSG00000186795
KCNK3,Yes,https://www.uniprot.org/uniprotkb/O14649,https://platform.opentargets.org/target/ENSG00000171303
KCNK9,Yes,https://www.uniprot.org/uniprotkb/Q9NPC2,https://platform.opentargets.org/target/ENSG00000169427
KCNK2,Yes,https://www.uniprot.org/uniprotkb/O95069,https://platform.opentargets.org/target/ENSG00000082482
AR,Yes,https://www.uniprot.org/uniprotkb/P10275,https://platform.opentargets.org/target/ENSG00000169083
AGTR1,Yes,https://www.uniprot.org/uniprotkb/P30556,https://platform.opentargets.org/target/ENSG00000144891
TLR7,Yes,https://www.uniprot.org/uniprotkb/Q9NYK1,https://platform.opentargets.org/target/ENSG00000196664
MMP7,Yes,https://www.uniprot.org/uniprotkb/P09237,https://platform.opentargets.org/target/ENSG00000137673
MMP8,Yes,https://www.uniprot.org/uniprotkb/P22894,https://platform.opentargets.org/target/ENSG00000118113
MMP13,Yes,https://www.uniprot.org/uniprotkb/P45452,https://platform.opentargets.org/target/ENSG00000137745
MMP1,Yes,https://www.uniprot.org/uniprotkb/P03956,https://platform.opentargets.org/target/ENSG00000196611
IL1R1,No,https://www.uniprot.org/uniprotkb/P14778,https://platform.opentargets.org/target/ENSG00000115594
ACE,Yes,https://www.uniprot.org/uniprotkb/P12821,https://platform.opentargets.org/target/ENSG00000159640
IFNAR1,No,https://www.uniprot.org/uniprotkb/P17181,https://platform.opentargets.org/target/ENSG00000142166
DPP4,Yes,https://www.uniprot.org/uniprotkb/P27487,https://platform.opentargets.org/target/ENSG00000197635
PLG,Yes,https://www.uniprot.org/uniprotkb/P00747,https://platform.opentargets.org/target/ENSG00000122194
FAAH,Yes,https://www.uniprot.org/uniprotkb/O00519,https://platform.opentargets.org/target/ENSG00000117480
TRPV1,Yes,https://www.uniprot.org/uniprotkb/Q8NER1,https://platform.opentargets.org/target/ENSG00000196689
IL17A,No,https://www.uniprot.org/uniprotkb/Q16552,https://platform.opentargets.org/target/ENSG00000112115
CSF2,No,https://www.uniprot.org/uniprotkb/P04141,https://platform.opentargets.org/target/ENSG00000164400
GRIN1,Yes,https://www.uniprot.org/uniprotkb/Q05586,https://platform.opentargets.org/target/ENSG00000176884
IL6,No,https://www.uniprot.org/uniprotkb/P05231,https://platform.opentargets.org/target/ENSG00000136244
HMGCR,Yes,https://www.uniprot.org/uniprotkb/P04035,https://platform.opentargets.org/target/ENSG00000113161
HRH2,Yes,https://www.uniprot.org/uniprotkb/P25021,https://platform.opentargets.org/target/ENSG00000113749
JAK1,Yes,https://www.uniprot.org/uniprotkb/P23458,https://platform.opentargets.org/target/ENSG00000162434
JAK2,Yes,https://www.uniprot.org/uniprotkb/O60674,https://platform.opentargets.org/target/ENSG00000096968
TUBB4B,Yes,https://www.uniprot.org/uniprotkb/P68371,https://platform.opentargets.org/target/ENSG00000188229
PDE5A,Yes,https://www.uniprot.org/uniprotkb/O76074,https://platform.opentargets.org/target/ENSG00000138735
IL10RB,No,https://www.uniprot.org/uniprotkb/Q08334,https://platform.opentargets.org/target/ENSG00000243646
PTGS1,Yes,https://www.uniprot.org/uniprotkb/P23219,https://platform.opentargets.org/target/ENSG00000095303
BLK,Yes,https://www.uniprot.org/uniprotkb/P51451,https://platform.opentargets.org/target/ENSG00000136573
CYP3A5,Yes,https://www.uniprot.org/uniprotkb/P20815,https://platform.opentargets.org/target/ENSG00000106258
HRH1,Yes,https://www.uniprot.org/uniprotkb/P35367,https://platform.opentargets.org/target/ENSG00000196639
PDE4B,Yes,https://www.uniprot.org/uniprotkb/Q07343,https://platform.opentargets.org/target/ENSG00000184588
PDE4D,Yes,https://www.uniprot.org/uniprotkb/Q08499,https://platform.opentargets.org/target/ENSG00000113448
PDGFRB,Yes,https://www.uniprot.org/uniprotkb/P09619,https://platform.opentargets.org/target/ENSG00000113721
SRPK2,Yes,https://www.uniprot.org/uniprotkb/P78362,https://platform.opentargets.org/target/ENSG00000135250
KIT,Yes,https://www.uniprot.org/uniprotkb/P10721,https://platform.opentargets.org/target/ENSG00000157404
GSK3B,Yes,https://www.uniprot.org/uniprotkb/P49841,https://platform.opentargets.org/target/ENSG00000082701
SRPK1,Yes,https://www.uniprot.org/uniprotkb/Q96SB4,https://platform.opentargets.org/target/ENSG00000096063
TYK2,Yes,https://www.uniprot.org/uniprotkb/P29597,https://platform.opentargets.org/target/ENSG00000105397
ABL1,Yes,https://www.uniprot.org/uniprotkb/P00519,https://platform.opentargets.org/target/ENSG00000097007
FER,Yes,https://www.uniprot.org/uniprotkb/P16591,https://platform.opentargets.org/target/ENSG00000151422
TBK1,Yes,https://www.uniprot.org/uniprotkb/Q9UHD2,https://platform.opentargets.org/target/ENSG00000183735
GSK3A,Yes,https://www.uniprot.org/uniprotkb/P49840,https://platform.opentargets.org/target/ENSG00000105723
DCLK3,Yes,https://www.uniprot.org/uniprotkb/Q9C098,https://platform.opentargets.org/target/ENSG00000163673
MAP3K7,Yes,https://www.uniprot.org/uniprotkb/O43318,https://platform.opentargets.org/target/ENSG00000135341
